openspending_id,amount,category_name,category_label,subcategory_name,subcategory_label,time_name,time_year,time_month,time_day,time_week,time_yearmonth,time_quarter,time
f7efff30db3ab31af8c6cd8749277fb20c13155c,274181346.0,skattar-a-launagr-og-vinnuafl,Skattar á launagr. og vinnuafl,skattar-a-launagr-og-vinnuafl,Skattar á launagr. og vinnuafl,2012-03-31,2012,03,31,13,201203,0,2012-03-31
6814dd08cb275c460350ff9feef7c2df17917778,678352487.0,skattar-a-launagr-og-vinnuafl,Skattar á launagr. og vinnuafl,skattar-a-launagr-og-vinnuafl,Skattar á launagr. og vinnuafl,2012-04-30,2012,04,30,18,201204,1,2012-04-30
f337bfcaea7f6f029223ae9fbdee7123d5a2f4a9,635781689.0,skattar-a-launagr-og-vinnuafl,Skattar á launagr. og vinnuafl,skattar-a-launagr-og-vinnuafl,Skattar á launagr. og vinnuafl,2012-05-31,2012,05,31,22,201205,1,2012-05-31
bf528cd38d28bb44634a11adee622d7e4763f785,474567326.0,skattar-a-launagr-og-vinnuafl,Skattar á launagr. og vinnuafl,skattar-a-launagr-og-vinnuafl,Skattar á launagr. og vinnuafl,2012-06-30,2012,06,30,26,201206,1,2012-06-30
88f016e133dfdeaec98da9b585c9760a000fee24,479989110.0,skattar-a-launagr-og-vinnuafl,Skattar á launagr. og vinnuafl,skattar-a-launagr-og-vinnuafl,Skattar á launagr. og vinnuafl,2012-07-31,2012,07,31,31,201207,1,2012-07-31
4377c2cc56dcb553730c10f91478d0617c4efcc2,493081569.0,skattar-a-launagr-og-vinnuafl,Skattar á launagr. og vinnuafl,skattar-a-launagr-og-vinnuafl,Skattar á launagr. og vinnuafl,2012-08-31,2012,08,31,35,201208,2,2012-08-31
d85ff043533ae139c69cd28f509e60e76d79b8f8,481174179.0,skattar-a-launagr-og-vinnuafl,Skattar á launagr. og vinnuafl,skattar-a-launagr-og-vinnuafl,Skattar á launagr. og vinnuafl,2012-09-30,2012,09,30,39,201209,2,2012-09-30
f21b82b6ed622a2a735623661a8fb068d4cd1dc1,465338080.0,skattar-a-launagr-og-vinnuafl,Skattar á launagr. og vinnuafl,skattar-a-launagr-og-vinnuafl,Skattar á launagr. og vinnuafl,2012-10-31,2012,10,31,44,201210,2,2012-10-31
6b2d4e3c171f7446d8d89e124138249dde8657b2,456443978.0,skattar-a-launagr-og-vinnuafl,Skattar á launagr. og vinnuafl,skattar-a-launagr-og-vinnuafl,Skattar á launagr. og vinnuafl,2012-11-30,2012,11,30,48,201211,2,2012-11-30
9ff169700bfd4feb00eca8c4e104bee80a22e146,500619633.0,skattar-a-launagr-og-vinnuafl,Skattar á launagr. og vinnuafl,skattar-a-launagr-og-vinnuafl,Skattar á launagr. og vinnuafl,2012-12-31,2012,12,31,53,201212,3,2012-12-31
