openspending_id,level,cofog3_name,cofog3_label,cofog2_name,cofog2_label,from_name,from_label,cofog1_name,cofog1_label,amount,time_name,time_year,time_month,time_day,time_week,time_yearmonth,time_quarter,time
0c5d961f379fc384c26cefc31c0d47459d6f615d,Brčko Distrikt,09-4-2,Univerziteti,09-4,Univerziteti,pododjeljenje-za-visoko-obrazov-i-nauku,Pododjeljenje za visoko obrazov. i nauku,09,Obrazovanje,550820.0,2012-01-01,2012,01,01,00,201201,0,2012-01-01
5c6506b96d4bbaec5c62319ab8eda2fb10c73bb8,Brčko Distrikt,09-8-0,Administracija obrazovanja,09-8,Administracija obrazovanja,strucna-sluzba-osnovnog-obrazovanja,Stručna služba osnovnog obrazovanja,09,Obrazovanje,51331462.0,2012-01-01,2012,01,01,00,201201,0,2012-01-01
6084b975554624b5f889399917cab089dff02e38,Brčko Distrikt,09-8-0,Administracija obrazovanja,09-8,Administracija obrazovanja,pododjeljenje-za-ljud-resur-i-zaposljavanje,Pododjeljenje za ljud. resur. I zapošljavanje.,09,Obrazovanje,36488101.0,2012-01-01,2012,01,01,00,201201,0,2012-01-01
da102d32aef307bf48369550c5c3e9270a934d45,Brčko Distrikt,09-8-0,Administracija obrazovanja,09-8,Administracija obrazovanja,pedagoska-institucija,Pedagoška institucija,09,Obrazovanje,26138386.0,2012-01-01,2012,01,01,00,201201,0,2012-01-01
b593d0180526fbd960476fd64d558cd6d801a114,Brčko Distrikt,09-8-0,Administracija obrazovanja,09-8,Administracija obrazovanja,strucna-sluzba-srednjeg-obrazovanja,Stručna služba srednjeg obrazovanja,09,Obrazovanje,8137362.0,2012-01-01,2012,01,01,00,201201,0,2012-01-01
22e92a6e7748975cb1e0f56e44fb3449bdbce72a,Brčko Distrikt,04-9-0,Finansijska administracija,04-9,Finansije,pododjeljenje-za-puteve-i-parkove,Pododjeljenje za puteve i parkove,04,Ekonomija,1163408947.0,2012-01-01,2012,01,01,00,201201,0,2012-01-01
d3e8a2f93800e99503f36751888f6c7edce15c13,Brčko Distrikt,04-9-0,Finansijska administracija,04-9,Finansije,pododjeljenje-za-javne-objekte,Pododjeljenje za javne objekte,04,Ekonomija,475919558.0,2012-01-01,2012,01,01,00,201201,0,2012-01-01
380d4b0ed3e6743d890249f1da2fbd60ea7ea7e8,Brčko Distrikt,04-9-0,Finansijska administracija,04-9,Finansije,pododjeljenje-za-jav-saobrac-i-odrzav-vozila,Pododjeljenje za jav. saobrač.i održav.vozila,04,Ekonomija,35632413.0,2012-01-01,2012,01,01,00,201201,0,2012-01-01
6181d5dc51176135ad883dc64edea4acf7507ca8,Brčko Distrikt,06-6-0,Stambena administracija,06-6,Stambena administracija,odjeljenja-za-raselj-lica-izbjegl-i-stamben-pitanja,"Odjeljenja za raselj. lica, izbjegl. i stamben. pitanja",06,Naše ulice,403287636.0,2012-01-01,2012,01,01,00,201201,0,2012-01-01
581c4687eb047e09413665c42f55c53383994a0b,Brčko Distrikt,06-6-0,Stambena administracija,06-6,Stambena administracija,pododjeljenje-za-kapit-investic,Pododjeljenje za kapit. investic.,06,Naše ulice,300378226.0,2012-01-01,2012,01,01,00,201201,0,2012-01-01
9442514d410c377e644a9f1528abb5c07c63148c,Brčko Distrikt,06-5-0,Razvoj zajednice,06-5,Razvoj zajednice,pododjeljenje-za-razvoj-i-strateg-komun-usluga,Pododjeljenje za razvoj i strateg. komun. usluga,06,Naše ulice,20514417.0,2012-01-01,2012,01,01,00,201201,0,2012-01-01
8d32bf98aefe286365e9a7f93a03d92cce06c3fc,Brčko Distrikt,01-7-0,Izdvajanja za javni dug,01-7,Izdvajanja za javni dug,domaca-i-strana-pozajmljivanja-i-otplate-duga,Domaća i strana pozajmljivanja i otplate duga,01,Rad Vlade,10954914.0,2012-01-01,2012,01,01,00,201201,0,2012-01-01
051275137026cccb7e51268b23d6b710291a8b2d,Brčko Distrikt,03-3-0,Sudovi,03-3,Sudovi,sudske-presude-i-rjesenja-sudska-i-vansuds-poravnanja,"Sudske presude i rješenja, sudska i vansuds poravnanja",03,Red i sigurnost,1000000.0,2012-01-01,2012,01,01,00,201201,0,2012-01-01
8c9d4cfdb1b14767ea13b6d3a694d7f4f9b352a4,Brčko Distrikt,01-1-2,Fiskalne aktivnosti,01-1,Organi Vlasti,sredstva-rezerve,Sredstva rezerve,01,Rad Vlade,91868296.0,2012-01-01,2012,01,01,00,201201,0,2012-01-01
dd15974eaac72eb3e4a092701dd00288c9090e28,Federacija Bosne i Hercegovine,01-7-0,Izdvajanja za javni dug,01-7,Izdvajanja za javni dug,izdaci-za-otplate-dugova-i-kamata,Izdaci za otplate dugova i kamata,01,Rad Vlade,586486291.0,2012-01-01,2012,01,01,00,201201,0,2012-01-01
9aa826fe88a97d1571323ca14a1555606f1a1642,Federacija Bosne i Hercegovine,01-1-1,Izvršna i zakonodavna organi,01-1,Organi Vlasti,vlada-fbih,Vlada FBiH,01,Rad Vlade,29981510.0,2012-01-01,2012,01,01,00,201201,0,2012-01-01
a6eac4060f2feee93e167eb9f34a3cc18f231dce,Federacija Bosne i Hercegovine,01-1-2,Fiskalne aktivnosti,01-1,Organi Vlasti,porezna-uprava,Porezna uprava,01,Rad Vlade,41678545.0,2012-01-01,2012,01,01,00,201201,0,2012-01-01
dbb0883022443532bfe3170f6a365c637a364b41,Federacija Bosne i Hercegovine,01-8-0,Transferi drugim nivoima,01-8,Transferi drugim nivoima,kapitalni-i-tekuci-transferi,Kapitalni i tekući transferi,01,Rad Vlade,33611000.0,2012-01-01,2012,01,01,00,201201,0,2012-01-01
8394c0b8125e594839bae2b0057ce326daa5a81f,Federacija Bosne i Hercegovine,01-1-1,Izvršna i zakonodavna organi,01-1,Organi Vlasti,fmf-organi-uprave,FMF - Organi uprave,01,Rad Vlade,20151127.0,2012-01-01,2012,01,01,00,201201,0,2012-01-01
1c6b0920e12524ff4b64b70175bbab5c9b17ab6d,Federacija Bosne i Hercegovine,01-1-1,Izvršna i zakonodavna organi,01-1,Organi Vlasti,parlament-fbih,Parlament FBiH,01,Rad Vlade,14875997.0,2012-01-01,2012,01,01,00,201201,0,2012-01-01
808ff7566413d52cfe1e26d3bc6082dadb563462,Federacija Bosne i Hercegovine,01-1-3,Vanjski poslovi,01-1,Organi Vlasti,fed-uprava-za-inspekcijske-poslove,Fed. uprava za inspekcijske poslove,01,Rad Vlade,8160786.0,2012-01-01,2012,01,01,00,201201,0,2012-01-01
8c775a0162d67cc5a3c9d9d783486353906fecbf,Federacija Bosne i Hercegovine,01-1-3,Vanjski poslovi,01-1,Organi Vlasti,fed-zavod-za-statistiku,Fed. zavod za statistiku,01,Rad Vlade,7932972.0,2012-01-01,2012,01,01,00,201201,0,2012-01-01
59013b6b12b77c370fd1a8a2145d5d187633e0e4,Federacija Bosne i Hercegovine,01-1-1,Izvršna i zakonodavna organi,01-1,Organi Vlasti,ured-predsjednika-i-podpredsjednika-fbih,Ured Predsjednika i Podpredsjednika FBiH,01,Rad Vlade,3667558.0,2012-01-01,2012,01,01,00,201201,0,2012-01-01
7204121726b9732df36a730b68d20c3e34d5532d,Federacija Bosne i Hercegovine,01-1-2,Fiskalne aktivnosti,01-1,Organi Vlasti,ured-za-reviziju-institucija-u-fbih,Ured za reviziju institucija u FBiH,01,Rad Vlade,3386524.0,2012-01-01,2012,01,01,00,201201,0,2012-01-01
64f5f92212ce9023eea1532a571a5e30f6ef8175,Federacija Bosne i Hercegovine,01-3-1,Ljudski resursi,01-3,Zajednički poslovi,agencija-za-drzavnu-sluzbu-fbih,Agencija za državnu službu FBiH,01,Rad Vlade,2269489.0,2012-01-01,2012,01,01,00,201201,0,2012-01-01
e307052f0db2d56b7b4a0a9d679aa826ae89a41c,Federacija Bosne i Hercegovine,01-1-3,Vanjski poslovi,01-1,Organi Vlasti,finansijska-policija,Finansijska policija,01,Rad Vlade,1801649.0,2012-01-01,2012,01,01,00,201201,0,2012-01-01
2193ac5a4e11e4ce05096c7ef904eea733c41967,Federacija Bosne i Hercegovine,01-3-3,Ostali zajednički poslovi,01-3,Zajednički poslovi,arhiv-fbih,Arhiv FBiH,01,Rad Vlade,582072.0,2012-01-01,2012,01,01,00,201201,0,2012-01-01
e36f6a0404221d6be213d61b518f678700fe35f6,Federacija Bosne i Hercegovine,01-1-1,Izvršna i zakonodavna organi,01-1,Organi Vlasti,fed-min-pravde,Fed. min. pravde,01,Rad Vlade,46900460.0,2012-01-01,2012,01,01,00,201201,0,2012-01-01
9ba6255e666893ee1719aa8e12e4c92d7808a3f6,Federacija Bosne i Hercegovine,03-1-0,Policija,03-1,Policija,mup-fbih,MUP FBiH,03,Red i sigurnost,41900503.0,2012-01-01,2012,01,01,00,201201,0,2012-01-01
4fe39b61b79ba2a5c2ab3603d8221bd3edb7e3bb,Federacija Bosne i Hercegovine,03-3-0,Sudovi,03-3,Sudovi,vrhovni-sud-fbih,Vrhovni sud FBiH,03,Red i sigurnost,23082137.0,2012-01-01,2012,01,01,00,201201,0,2012-01-01
