title,amount,time,cofog1.code,cofog1.label,cofog2.code,cofog2.label,cofog3.code,cofog3.label,level,
Operativni tim RS za traženje nestalih lica,31189,2013,10,Penzije i socijalno,10.7,Socijalna politika,10.7.0,Socijalna politika,Republika Srpska,
Ostala budžetska potrošnja,502605673,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.2,Fiskalne aktivnosti,Republika Srpska,
Ostala potrošnja,30283202,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.2,Fiskalne aktivnosti,Republika Srpska,
Privredne jedinice,4849396,2013,04,Ekonomija,04.1,Ekonomski poslovi,04.1.1,Ekonomski poslovi,Republika Srpska,
Pravoslavni bogoslovski fakultet Sv. Vasilije,991614,2013,09,Obrazovanje,09.4,Univerziteti,09.4.2,Univerziteti,Republika Srpska,
Predstavništva u inostranstvu,3157601,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.3,Vanjski poslovi,Republika Srpska,
Projekat registracije nekretnina RERP - žiro račun,710126,2013,04,Ekonomija,04.1,Ekonomski poslovi,04.1.1,Ekonomski poslovi,Republika Srpska,
Racun prinudne naplate,6757854,2013,04,Ekonomija,04.1,Ekonomski poslovi,04.1.1,Ekonomski poslovi,Republika Srpska,
Republicka agencija za razvoj malih i srednjih preduzeca,2386967,2013,04,Ekonomija,04.1,Ekonomski poslovi,04.1.1,Ekonomski poslovi,Republika Srpska,
Republicka direkcija za promet naoružanja i vojne opreme,996536,2013,04,Ekonomija,04.5,Transport,04.5.4,Avijacija,Republika Srpska,
Republicka uprava  za geodetske i imovinsko pravne poslove - racun,9092585,2013,06,Naše ulice,06.1,Stambeno,06.1.0,Stambeno,Republika Srpska,
Republicki zavod za zaštitu kult-ist. i prirodnog naslijeda - racun,172079,2013,08,Kultura i religija,08.2,Kultura,08.2.0,Kultura,Republika Srpska,
Srednja bogoslovka škola,738090,2013,09,Obrazovanje,09.2,Srednje škole,09.2.2,Srednje škole,Republika Srpska,
Studentski dacki domovi - žiro racun,7726409,2013,09,Obrazovanje,09.6,Studentski standard,09.6.0,Studentski standard,Republika Srpska,
Turisticka organizacija RS,542051,2013,04,Ekonomija,04.1,Ekonomski poslovi,04.1.1,Ekonomski poslovi,Republika Srpska,
Agencija za informaciono društvo,451081,2013,09,Obrazovanje,09.4,Univerziteti,09.4.2,Univerziteti,Republika Srpska,
